skill_raw,skill_norm,course_count,domain,domain_confidence,domain_category_count,is_generic,aliases,example_courses
excel,excel,3,Business Fundamentals,1.0,1,0,"excel, اكسل",Advanced Excel; Excel Essential Training; Excel Formulas and Functions
file,file,3,Programming,0.333,3,0,file,PHP 2020 File and Error Handling; Office Filling; Make a Deep Friendship with your Windows 10 Computer
health,health,3,Health & Wellness,0.667,2,0,health,Introduction to Mental health; Work life Balance; Healthy Living
html,html,3,Programming,1.0,1,0,html,HTML Web Design Tools; HTML Advanced Techniques; HTML Essentials
illustrator,illustrator,3,Graphic Design,1.0,1,0,"illustrator, اليستريتور",Adobe Illustrator Make Your Design Looks Great; Adobe Illustrator Essentials; Adobe Illustrator Advanced Techniques
indesign,indesign,3,Graphic Design,1.0,1,0,indesign,Adobe InDesign Formatting Books; Adobe InDesign Advanced Techniques; Adobe InDesign Essentials
individuals,individuals,3,Personal Development,0.333,3,0,individuals,Critical Thinking; Sell Yourself and Idea Personal Branding; Analytical skills
interface,interface,3,Graphic Design,0.667,2,0,interface,Start with 3D Max; Access 2019 Essentials; Introduction to AutoCAD
interview,interview,3,Human Resources,0.333,3,0,interview,Interviewing Skills; How To Pass An Interview; Introduction to talent acquisition
like,like,3,General,0.667,2,0,like,Introduction to Supply Chain Management; Basics of business finance; Be an Autocad Artist Autocad Drawing 2
loops,loops,3,Programming,0.667,2,0,loops,JavaScript Basics; Hacking Start your White Hat Path; Python Basics 2020
main,main,3,Sales,0.667,2,0,main,Sell with Stories; Effective Complaint Handling Skills; Learn and Master Sales
media,media,3,General,0.333,3,0,media,Social Media Marketing Basics; Serving Customers using Social Media; Social Media for Job Prospecting
motion,motion,3,Graphic Design,1.0,1,0,motion,Master The Animation in 3D Max; After Effects 2019 Advanced Techniques; After Effects 2019 Essentials
operations,operations,3,General,0.333,3,0,operations,Operations Management for Startups; Hacking Basics of Computer Programming; Hacking White Hat Tools
others,others,3,Personal Development,0.667,2,0,others,Influence Persuasion; Self Awareness; Developing Empathy
out,out,3,Web Development,0.333,3,0,out,WordPress Plugins; Leading at the Speed of Trust; Sales Principles
performance,performance,3,Human Resources,0.333,3,0,performance,Performance Management; Procurement and Supplier Management; Art of Coaching
precision,precision,3,Graphic Design,0.667,2,0,precision,Launch Your MySQL Powers; Advanced Photoshop Shapes and Tools; 03 D Max Become an Expert in the Final Touches
presentation,presentation,3,Business Fundamentals,0.667,2,0,presentation,PowerPoint Beginnings; Presentation Skills Basics; PowerPoint Professional Looking Presentation
principles,principles,3,General,0.667,2,0,principles,Introduction to Accounting; Sales Principles; Basics of Logistics and Transportation
psychological,psychological,3,General,1.0,1,0,psychological,Social Psychology Fundamentals; Introduction to Psychology; Human Development and Behavior
psychology,psychology,3,General,1.0,1,0,psychology,Basics of Cognitive Psychology; Social Psychology Fundamentals; Introduction to Psychology
re,re,3,Graphic Design,0.667,2,1,re,Adobe Animate CC 2019 Learn How to Make your Character Moves; Revit 2020Get Started; Introduction to Visual Basic
security,security,3,Web Development,0.333,3,0,security,Build a Stronger WordPress Website; Hacking White Hat Tools; Make a Deep Friendship with your Windows 10 Computer
selling,selling,3,Sales,1.0,1,0,selling,Spin Selling; Learn and Master Sales; Sales Principles
social media,social media,3,General,0.333,3,0,social media,Social Media Marketing Basics; Serving Customers using Social Media; Social Media for Job Prospecting
strategic,strategic,3,Career Development,0.333,3,0,strategic,Analytical skills; Introduction to talent acquisition; Advanced Strategic Negotiation Skills
stress,stress,3,Health & Wellness,0.667,2,0,stress,Work life Balance; Stress Management (AR); Anger and Stress
user,user,3,Programming,0.667,2,0,user,PHP 2020 OOP; Master Access 2019 Advanced; C 2019 Essentials
want,want,3,Banking Skills,0.333,3,0,want,Financial Inclusion; Presentation Skills Basics; Communication Skills
way,way,3,Soft Skills,0.667,2,0,way,Advanced Interpersonal Skills; Dealing with Criticism; AI in Everyday life
well,well,3,Health & Wellness,0.333,3,0,well,Self Awareness; Art of Coaching; Giving Constructive Feedback
where,where,3,Programming,0.333,3,0,where,Visual Basic Advanced Custom Controls; Adobe Animate CC 2019 for Beginners; Customer Centricity
windows,windows,3,Technology Applications,1.0,1,0,windows,Get Closer to your Windows 10 Computer; Make a Deep Friendship with your Windows 10 Computer; Access the Worlds Windows Microsoft Edge
work,work,3,Career Development,0.333,3,0,work,Working Remotely; Revit 2020 Rendering Show off your Fabulous work; Developing Empathy
workplace,workplace,3,General,0.667,2,0,workplace,Designing workplace hygiene policies; Business Ethics and Etiquette; Workplace Diversity
access,access,2,Technology Applications,0.5,2,0,access,Access 2019 Essentials; Master Access 2019 Advanced
accounting,accounting,2,General,1.0,1,0,accounting,Introduction to Accounting; Basics of Logistics and Transportation
accounting principles,accounting principles,2,General,1.0,1,0,accounting principles,Introduction to Accounting; Basics of Logistics and Transportation
adding,adding,2,Web Development,0.5,2,0,adding,WordPress Plugins; Revit 2020 Intelligible Projects
adobe after,adobe after,2,Graphic Design,1.0,1,0,adobe after,After Effects 2019 Advanced Techniques; After Effects 2019 Essentials
adobe after effects,adobe after effects,2,Graphic Design,1.0,1,0,adobe after effects,After Effects 2019 Advanced Techniques; After Effects 2019 Essentials
ai,ai,2,General,1.0,1,1,ai,The Art and Science of Prompt Engineering; AI in Everyday life
always,always,2,Customer Service,0.5,2,0,always,Customer Service First Call Resolution; How To Pass An Interview
android studio,android studio,2,Programming,1.0,1,0,android studio,Android Studio 2017 Essentials; Practice Android Studio 2017
anger,anger,2,Soft Skills,0.5,2,0,anger,Working With Upset Customers; Anger and Stress
animate,animate,2,Graphic Design,1.0,1,0,animate,How to Start your Advanced Level in Animate 2019; Adobe Animate CC 2019 for Beginners
animate cc,animate cc,2,Graphic Design,1.0,1,0,animate cc,How to Start your Advanced Level in Animate 2019; Adobe Animate CC 2019 for Beginners
animations,animations,2,Graphic Design,1.0,1,0,animations,Advanced Photoshop Shapes and Tools; After Effects 2019 Effects Presets
app,app,2,Programming,1.0,1,0,app,Android Studio Build Your Own APK; Android Studio 2017 Essentials
application,application,2,Technology Applications,0.5,2,0,application,Go Through Word 2019; Introduction to Sustainability
architectural,architectural,2,Graphic Design,1.0,1,0,architectural,Revit 2020Lasting Buildings; Revit 2020Get Started
array,array,2,Graphic Design,0.5,2,0,array,Be an Autocad Artist Autocad Drawing 2; Advanced JavaScript
arrays,arrays,2,Programming,1.0,1,0,arrays,Advanced JavaScript; Advanced PHP 2020
art,art,2,Graphic Design,0.5,2,0,art,Adobe Illustrator Advanced Techniques; Sales Principles
behavior,behavior,2,General,1.0,1,0,behavior,Social Psychology Fundamentals; Human Development and Behavior
bookkeeping,bookkeeping,2,General,1.0,1,0,bookkeeping,Introduction to Accounting; Basics of Logistics and Transportation
browsing,browsing,2,Personal Development,0.5,2,0,browsing,The Psychology of Internet Addiction; Access the Worlds Windows Microsoft Edge
business ethics,business ethics,2,Human Resources,0.5,2,0,business ethics,Business Ethics; Business Ethics and Etiquette
campaign,campaign,2,General,0.5,2,0,campaign,Social Media Marketing Basics; Digital Marketing Advanced Marketing Strategies
cc,cc,2,Graphic Design,1.0,1,1,cc,How to Start your Advanced Level in Animate 2019; Adobe Animate CC 2019 for Beginners
characters,characters,2,Graphic Design,1.0,1,0,characters,Adobe Animate CC 2019 Learn How to Make your Character Moves; Master The Animation in 3D Max
classes,classes,2,Programming,1.0,1,0,classes,PHP 2020 OOP; Python Oriented Programming OOP
cognitive,cognitive,2,General,1.0,1,0,cognitive,Basics of Cognitive Psychology; Social Psychology Fundamentals
collaboration,collaboration,2,General,0.5,2,0,collaboration,Basic Teamwork and Collaboration; Developing Empathy
companies,companies,2,Marketing Skills,0.5,2,0,companies,Growth Hacking; How companies operate
company,company,2,Customer Service,0.5,2,0,company,Effective Complaint Handling Skills; Sustainability in Corporates
corporate governance,corporate governance,2,General,1.0,1,0,corporate governance,Introduction to Corporate Governance; Corporate Governance for Startups
creativity,creativity,2,Graphic Design,0.5,2,0,creativity,Lets Practice 3D Max; Creativity and Innovation
crisis,crisis,2,Personal Development,0.5,2,0,crisis,The Twenties Journey; Risk and Crisis Management Environmental Awareness
csr,csr,2,General,1.0,1,0,csr,Corporate Social Responsibility (CSR) Principles; Supply Chain Sustainability and CSR
